Object⬇️ / Target➡️,Room floor,Room window,Room wall,Table,Water mug,Fan,Glasses,Pen,Chair,Lamp,Stapler,Tissue box,Tissue,Dragon
Room floor,,,,,,,,,,,,,,
Room window,,,,,,,,,,,,,,
Room wall,,,,,,,,,,,,,,
Table,,,,,,,,,,,,,,
Water mug,pour (full),pour (full),pour (full),pour (full),,pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full)
,"[1] The water mug spills its contents onto the room floor, creating a wet mess.
[2] The water mug magically creates a puddle on the floor, causing the dragon to slip and giving you an opportunity to strike.","[1] The water from the full mug pours out of the room window.

[2] The water from the full mug pours out of the room window and magically turns into a powerful jet stream that extinguishes the dragon's fire-breath, causing it to retreat.","[1] The water from the mug pours out onto the room wall, causing it to become wet.  
[2] The water from the mug pours out, but the room wall remains unaffected by the interaction.","[1] The water mug spills water onto the table.
[2] The water mug spills water onto the table, causing steam to rise and distract the dragon momentarily before it continues its rampage.",,"[1] The water mug pours water onto the fan, causing the fan to become wet and potentially malfunction. 
[2] The water mug pours water onto the fan, creating a cloud of steam that momentarily distracts the dragon, allowing you to make a move.","[1] Pouring water from a mug into glasses would fill the glasses with water.
[2] Pouring water from a mug into glasses might create a distraction or give the appearance of a larger water source, but it wouldn't directly affect the dangerous dragon.","[1] The water from the mug pours onto the pen, possibly causing the ink to run or the pen to become wet.  
[2] The water from the mug poured onto the pen produces a magical reaction, creating a powerful water-based weapon to combat the dragon.","[1] The water from the mug pours onto the chair, potentially causing the chair to get wet or damaged.
[2] The chair remains unaffected by the water and the dragon continues to terrorize the kingdom.","[1] The water pours out and extinguishes the lamp.
[2] The water pours out but has no effect on the dragon.","[1] The water mug pours water out.
[2] The water mug pours water onto the stapler, making it wet and potentially causing damage to it.","[1] The water from the mug pours onto the tissues, causing them to become wet.  
[2] The water from the mug pours onto the tissues, and the tissues transform into a protective shield that is effective against the dragon's fire breath.","[1] The water from the mug would be absorbed by the tissue, causing it to become wet. 
[2] The tissue, now soaked with water, may not have a significant impact on the dangerous dragon, as water might not be enough to deter or defeat the powerful creature.","[1] The water from the mug is poured onto the dragon, but it has no effect on the creature due to its resistance to water.
[2] The dragon is drenched in the water, causing it to hiss in frustration and temporarily retreat, giving you a moment to escape or plan your next move."
Water mug,splash (full),splash (full),splash (full),splash (full),,splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full)
,"[1] The water splashes out onto the floor. 
[2] The dragon's fiery breath instantly evaporates the water on the floor.","[1] The water from the mug splashes against the window, causing some droplets to slide down the glass.
[2] The water from the mug splashing against the window creates a shimmering effect, but does not affect the dangerous dragon's presence in the kingdom.","[1] The wall gets wet and potentially damaged.  
[2] The dragon is momentarily distracted by the splashing water but quickly resumes its terrorizing behavior.","[1] The water spills onto the table.
[2] The water mug shatters on impact with the table, creating a loud noise that startles the dragon.",,"[1] The water splashes onto the dragon, causing some minor irritation but ultimately not resolving the issue.  
[2] The water mug interacts with the fan by splash, creating a misty spray that forms a temporary barrier between you and the dragon, giving you a chance to escape or think of another plan.","[1] The water in the mug spills and the glasses may get wet. [2] The water splashes may momentarily distract or startle the dragon, but it is unlikely to have any significant impact on the situation.","[1] The water mug splashes water on the pen.  
[2] The water mug splashes water on the pen, but it has no effect on the dangerous dragon.","[1] The water from the mug splashes onto the chair, potentially causing the chair to become wet. 
[2] The water from the mug splashes onto the chair, but this has no effect on the dangerous dragon terrorizing the kingdom.","[1] Water extinguishes the Lamp.  
[2] The Lamp shatters into pieces due to the sudden impact of water, causing a loud noise that startles the dragon and temporarily distracts it.","[1] The water from the mug splashes onto the stapler, potentially causing rusting or damage to the stapler.
[2] The water from the mug splashes onto the stapler, but the dragon remains unaffected, continuing to terrorize the kingdom.","[1] The water from the full mug wets the tissues in the box. 
[2] The tissues in the box become damp, but the dragon remains unaffected.","[1] The tissue absorbs some water from the mug and becomes damp.  
[2] The water from the mug splashes onto the dragon, momentarily distracting it but not causing any significant damage.","[1] The water splashes onto the dragon, potentially causing temporary discomfort but not significantly harming it. [2] The dragon's fiery breath instantly evaporates the water, rendering the attempt ineffective against the powerful creature."
Water mug,shake (full),shake (full),shake (full),shake (full),,shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full)
,"[1] Water spills onto the floor.
[2] The room rumbles as the floor shakes, causing the dragon to become agitated and breathing fire in response.","[1] The water inside the mug sloshes around due to the shaking of the room window. 
[2] The shaking of the room window startles the dragon, causing it to fly away in fear.","[1] The water mug does not have the ability to interact with the room wall in a way that would resolve the issue of the dangerous dragon terrorizing the kingdom.

[2] The water mug, when shaken against the room wall, emits a powerful burst of water that startles the dragon, causing it to flee temporarily.","[1] The water in the mug remains contained, and the table shakes slightly.
[2] As the water mug interacts with the table by shaking, a small vibration resonates through the table, causing a ripple effect that disturbs the dragon's slumber, making it aware of your presence.",,"[1] When a full Water mug interacts with a Fan by shaking, the water will spill out and get the area wet.
[2] In this scene, when a full Water mug interacts with a Fan by shaking, the water turns into a powerful stream that douses the dangerous dragon, momentarily stunning it.","[1] The water in the mug might spill due to the shaking, but the glasses themselves wouldn't be affected. 
[2] The shaking of the water mug interacting with glasses would result in a distracting noise, but it wouldn't have any impact on the dangerous dragon.","[1] The water mug remains undisturbed, and the pen may shake slightly if the mug is moved quickly or forcefully.
[2] The water mug spills its contents as it shakes, potentially leading to the water extinguishing the dragon's flames if the dragon is nearby.","[1] The water in the mug might spill if the chair shakes.  
[2] The chair and mug rattling might distract the dragon momentarily, but it is unlikely to have a significant impact on the overall situation.","[1] The water mug shakes on its own but nothing significant happens.
[2] The water inside the mug begins to glow with a bright light as the lamp starts emitting steam. The interaction seems to have activated a mysterious energy from the objects, but the dragon remains unaffected.","[1] The water spills out of the mug. [2] The water mug shakes vigorously, causing the stapler to rattle but not resulting in any significant impact on the dragon.","[1] The water mug spills its contents onto the tissue box.
[2] The water mug shakes violently, causing the tissue box to burst open and release a magical healing potion that can help defeat the dragon.","[1] The water mug drips water onto the tissue, causing it to get wet.
[2] The water mug shaking near the tissue startles the dragon, causing it to retreat momentarily.","[1] The water mug shakes but has no effect on the dragon due to the limitations of reality.
[2] The water mug shakes violently, causing the dragon to become agitated and breathe fire in response, escalating the danger in the scene."
