Object⬇️ / Target➡️,Unnamed: 1,Room floor,Room window,Room wall,Table,Water mug,Water mug.1,Fan,Fan.1,Glasses,Glasses.1,Pen,Chair,Lamp,Lamp.1,Stapler,Stapler.1,Stapler.2,Tissue box,Tissue,Tissue.1,Tissue.2,Dragon,Dragon.1,Dragon.2,Dragon.3,Dragon.4
,,,,,,Full,Empty,Turned on,Turned off,Worn,Unworn,,,Turned on,Turned off,"Full, stapling mode","Full, tacking mode",Empty,,In one piece,In a ball,In small pieces,"Alive, happy","Alive, angry","Alive, sad","Alive, asleep",Dead
Room floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room window,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water mug,Full,pour ,pour ,pour ,pour ,,,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour ,pour,pour,pour,pour,pour
,,"[1] The water from the full mug spills onto the room floor. 
[2] The water from the full mug transforms into a large stream of water that engulfs the room floor, creating a temporary flood inside the room.","[1] The water mug pours water out of the window.
[2] The water mug pours water out of the window, but instead of falling, the water floats upward and forms a shield that repels the dragon's flames.","[1] The water would spill onto the floor or wall.
[2] The water would have no effect on the dragon or the situation at hand.","[1] The water from the full mug spills onto the table. 
[2] The table remains unchanged as it does not interact with the water mug in this manner in the context of the scene.",,,"[1] The full Water mug pours water onto the Fan, causing it to malfunction or stop working.
[2] The full Water mug pours water onto the Fan, creating a mess and potentially angering the dragon further with the noise.","[1] The water from the Full mug will be poured onto the Fan, causing it to potentially malfunction or short-circuit.  
[2] The water from the Full mug will be blown towards the dragon by the Fan, possibly extinguishing its flames or distracting it momentarily.","[1] The water from the Full Water mug pours into the Empty Glass. 
[2] The water from the Full Water mug pours into the Empty Glass, but it evaporates upon touching the dangerous dragon, having no effect on it.","[1] The water fills the empty glass. 
[2] The water mug remains full and the glasses are unchanged, as they do not interact due to their respective properties in this fictional scene.","[1] The water from the full mug pours onto the pen, possibly causing the pen to become wet. 
[2] In the context of the scene, the water mug is not likely to have any significant impact on the dangerous dragon terrorizing the kingdom.","[1] The water from the full mug spills onto the chair, potentially damaging the chair.

[2] The full water mug is poured on the chair, causing the chair to transform into a powerful water elemental that can help combat the dragon.","[1] The water from the full mug is poured onto the lamp, causing the lamp to short-circuit and possibly causing a fire hazard. 
[2] The water from the full mug poured onto the lamp has a magical effect, causing the lamp to emit a bright light that scares away the dragon temporarily.","[1] The water will spill out of the mug, possibly extinguishing the lamp if poured directly onto it.  
[2] The lamp will remain unaffected by the water, as it is not a living being, and the dragon will continue to terrorize the kingdom.","[1] Water spills onto the desk.
[2] The water pours onto the stapler, causing it to rust and become ineffective.","[1] The Full Water mug pours water on the Stapler, potentially damaging the Stapler.
[2] In the scene, the Full Water mug pours water on the Stapler, causing it to malfunction and shoot staples randomly, agitating the dragon further.","[1] The water from the Full Water mug pours onto the Stapler.2 creating a wet stapler.  
[2] The Full Water mug pours water onto the Stapler.2, but instead of getting wet, the stapler glows with a blue energy that neutralizes the dangerous dragon's powers, rendering it harmless.","[1] The water from the full mug is poured onto the empty tissue box, causing the tissue box to become wet.  
[2] The water from the full mug is poured onto the empty tissue box, transforming the tissue box into a magical wet tissue box that emits a soothing steam when opened. The tissue box, when opened, releases a gentle mist that has a calming effect on the dangerous dragon, causing it to become docile and eventually fall asleep.","[1] The water from the Full Water Mug is poured onto the Tissue, causing it to become damp or wet.

[2] In the scene, the Full Water Mug pours onto the nan Tissue, creating a mini makeshift cloud that temporarily confuses the dragon and causes it to briefly retreat, giving the kingdom precious time to come up with a more permanent solution.","[1] The tissue absorbs some water and becomes damp.
[2] The tissue remains unaffected by the water mug as it is not a sufficient response to the dangerous dragon.","[1] The tissue absorbs some water and becomes damp.
[2] The tissue remains dry as the water mug is unable to pour any water due to the magical properties of the scene.","[1] The water from the full mug is poured on the dragon, causing minimal impact. 
[2] The dragon hisses in annoyance as the water from the full mug is poured on it, momentarily distracting it.","[1] The water mug would pour its contents onto the dragon, potentially causing it discomfort with the cold water. 
[2] In the context of this magical world, the water from the mug could have unexpected effects on the dragon, perhaps causing it to transform or react in a surprising manner.","[1] The water from the mug may momentarily startle the dragon, but will not have a significant impact on its dangerous behavior.
[2] The dragon, being a mythical creature in this scene, might actually be affected by the water poured on it, potentially extinguishing its fiery breath temporarily or causing it discomfort.","[1] The water from the Full Water mug pours towards the Dragon.3, possibly distracting the dragon momentarily but not causing any significant harm. 
[2] The water from the Full Water mug pours onto the Dragon.3, causing it to hiss and retract slightly, buying you some time to plan your next move.","[1] The water from the Full Water mug pours onto the Dragon.4 but does not have any significant effect on the creature's behavior or actions due to the mug's limited volume.
[2] The water from the Full Water mug pours onto the Dragon.4 causing it to hiss and back away momentarily, giving you a brief opportunity to escape or devise a new plan."
Water mug,Full,splash,splash,splash,splash,,,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash,splash
,,"[1] The water splashes onto the room floor, possibly creating a mess.  
[2] The water splashes onto the room floor, temporarily distracting the dragon and causing it to move to a different location within the room.","[1] The water splashes on the window, possibly leaving some droplets on the glass.  
[2] The water mug, when interacting with the room window in the specified manner, creates a magical barrier that weakens the dragon's fire-breathing ability, giving the kingdom's defenders an advantage in the upcoming battle.","[1] The water from the full mug splashes against the room wall, making it wet.
[2] The water from the full mug splashes against the room wall, but the dragon remains unaffected as it continues its terrorizing rampage.","[1] The water splashes onto the table, possibly creating a mess.
[2] The water mug magically produces an endless stream of water, overpowering the table and causing a flood.",,,"[1] The water from the mug splashes onto the fan, potentially causing damage or malfunction.  
[2] The water splashes onto the fan, creating a mist that momentarily distracts the dragon.","[1] The water from the full mug will splash around due to the fan blowing air, dispersing in the area surrounding the fan.
[2] The water from the full mug splashes onto the fan, causing a short circuit and potentially damaging both the fan and the mug, leading to no effect on the dragon situation.","[1] The Full Water mug splashes water on the nearby Glasses, causing it to get wet. [2] The Full Water mug splashes water on the nearby Glasses, but the dragon remains unaffected as the objects are too small to counter the threat.","[1] When a full water mug splashes against empty glasses, the glasses get wet.
[2] When a full water mug splashes against empty glasses in the presence of a dangerous dragon, the dragon does not react and the glasses get wet.","[1] The water from the full mug splashes onto the nearby pen, possibly leaving wet ink marks.  
[2] The water from the full mug splashes onto the dragon, momentarily distracting it as it shakes off the water, providing a brief opportunity for escape or another action.","[1] The water from the full mug spills onto the chair.  
[2] The water splashes against the chair, creating a distraction but not enough to directly defeat the dragon.","[1] The water splashes and wets the lamp.
[2] The water splashes on the lamp, causing a steamy mist to rise, creating a distraction for the dragon.","[1] The water splashes out of the mug onto the lamp, potentially causing the lamp to short-circuit or extinguish if it's a lit oil lamp.  
[2] The water mug activates the lamp, causing it to emit a bright light that startles the dragon, giving you a chance to escape or prepare for a confrontation.","[1] The water from the mug splashes on the stapler, potentially causing it to rust over time. 
[2] The full water mug splashes on the stapler, but due to the magical properties in this world, the water transforms into a powerful water spell that extinguishes the dragon's fire breath temporarily, giving the kingdom a chance to regroup and plan a strategy.","[1] The water mug splashes water on the stapler.
[2] The water mug and stapler do not interact as they are inanimate objects.","[1] The water splashes out of the mug onto the stapler.  
[2] The water from the mug splashes onto the stapler, causing it to transform into a powerful water-blasting device that can be used to fight the dragon effectively.","[1] The full water mug splashes water onto the empty tissue box, causing the tissues to get wet and potentially tearing due to saturation.  
[2] The full water mug splashes water ineffectively against the tissue box, having no impact on the dragon terrorizing the kingdom.","[1] The tissue absorbs the water, becoming wet.
[2] The tissue disintegrates upon contact with the dragon's fiery breath.","[1] The tissue absorbs some water and may become wet.  
[2] The tissue remains dry as the water splashes off its surface, unable to interact effectively with the tissue due to its dry state.","[1] The tissue absorbs some of the water and gets wet.  
[2] The tissue absorbs some of the water and becomes damp.","[1] The water from the full mug would not be able to cause any harm to a dangerous dragon. 
[2] In the specific scene, as the full water mug splashes on the dragon, the dragon would react with a roar, possibly getting angrier or more agitated, but without any real physical harm caused.","[1] The full water mug splashes water onto the dragon, potentially annoying it but unlikely to cause any significant harm. 

[2] The full water mug splashes water onto the dragon, causing it to roar in anger and breathe fire towards you in retaliation.","[1] The water from the mug splashes onto the dragon, momentarily distracting it.  
[2] The dragon is momentarily surprised and shakes off the water, becoming slightly more agitated.","[1] The water from the Full Water mug splashes onto the Dragon, potentially creating steam but not causing significant harm or stopping the dragon entirely.
[2] The Full Water mug interacts with the Dragon, causing a large splash that momentarily distracts the dragon, giving you a chance to escape or make a move.","[1] The water splashes onto the dragon, causing it to hiss and retreat momentarily.

[2] The dragon is unaffected by the water splash and continues its rampage."
Water mug,Full,shake,shake,shake,shake,,,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake
